k,time,rounds,metric,rounds_ind
1,0.35952305793762207,1.0,0.0,514.0
2,0.8042871952056885,2.0,26.488066902524885,1028.0
3,1.2523508071899414,3.0,52.868811103542214,1542.0
4,1.712024211883545,4.0,77.81652388069594,2056.0
5,2.159480094909668,5.0,82.2700458050839,2570.0
6,2.619159460067749,6.0,83.46793146982994,3084.0
7,3.087526321411133,7.0,97.40578199819726,3598.0
8,3.5524942874908447,8.0,174.68580601551147,4112.0
9,4.035088300704956,9.0,177.8305516251656,4626.0
10,4.52895188331604,10.0,225.58679260777,5140.0
11,5.028295993804932,11.0,233.2716537073148,5654.0
12,5.5194103717803955,12.0,277.09155400580227,6168.0
13,6.121183633804321,13.0,279.40832758617626,6682.0
14,6.7449657917022705,14.0,279.495740859627,7196.0
15,7.327239513397217,15.0,281.6683500827406,7710.0
16,7.815103054046631,16.0,297.53304923925117,8224.0
17,8.339189291000366,17.0,298.69651703129233,8738.0
18,8.835929155349731,18.0,353.4530268173203,9252.0
19,9.425950288772583,19.0,358.507728490259,9766.0
20,10.025471210479736,20.0,360.4539028050588,10280.0
21,10.638513565063477,21.0,361.3349172635609,10794.0
22,11.223255157470703,22.0,372.3310463908745,11308.0
23,11.765441656112671,23.0,380.26923561471114,11822.0
24,12.384495496749878,24.0,383.11687106401996,12336.0
25,12.931398868560791,25.0,385.07219611809717,12850.0
26,13.488102674484253,26.0,387.1803620369584,13364.0
27,14.045114278793335,27.0,390.6965829634979,13878.0
28,14.635474443435669,28.0,403.20712558136984,14392.0
29,15.326940536499023,29.0,426.3047736786236,14906.0
30,15.978296041488647,30.0,426.2545329712837,15420.0
31,16.605719089508057,31.0,443.37189334801434,15934.0
32,17.334744453430176,32.0,459.5816811581071,16448.0
33,18.037073612213135,33.0,460.230032505341,16962.0
34,18.638943910598755,34.0,461.2602295930963,17476.0
35,19.199037313461304,35.0,464.30506832118544,17990.0
36,19.768763065338135,36.0,473.1608114144759,18504.0
37,20.43265724182129,37.0,481.61870951045154,19018.0
38,20.98082995414734,38.0,499.93572758302724,19532.0
39,21.605893850326538,39.0,504.6726226343369,20046.0
40,22.292807817459106,40.0,506.1761068177487,20560.0
41,22.909485816955566,41.0,512.864247150837,21074.0
42,23.583844900131226,42.0,518.545985314869,21588.0
43,24.286587953567505,43.0,518.5290175671049,22102.0
44,24.888126611709595,44.0,520.7257838334147,22616.0
45,25.585488319396973,45.0,521.8775898730373,23130.0
46,26.28922748565674,46.0,522.8238441933927,23644.0
47,26.871386766433716,47.0,522.8063141336428,24158.0
48,27.45034623146057,48.0,522.83013275041,24672.0
49,28.010727167129517,49.0,522.8753096515179,25186.0
50,28.579469919204712,50.0,524.8119943658338,25700.0
51,29.175575017929077,51.0,527.1912276556569,26214.0
52,29.85382628440857,52.0,527.1832457446563,26728.0
53,30.402070999145508,53.0,527.9501987766012,27242.0
54,31.02528667449951,54.0,527.9272058126319,27756.0
55,31.68586230278015,55.0,528.0520209219525,28270.0
56,32.282307147979736,56.0,528.1005672697067,28784.0
57,32.98290944099426,57.0,528.3677740259844,29298.0
58,33.64199209213257,58.0,528.3624409139122,29812.0
59,34.35586333274841,59.0,529.1174426864363,30326.0
60,35.02459239959717,60.0,531.6135072482466,30840.0
61,35.614218950271606,61.0,533.291737037036,31354.0
62,36.19493532180786,62.0,535.60359630952,31868.0
63,36.86997032165527,63.0,535.5588780092335,32382.0
64,37.4575617313385,64.0,538.6894284622005,32896.0
65,38.07194423675537,65.0,538.6877885879228,33410.0
66,38.759182929992676,66.0,538.8887039003355,33924.0
67,39.34856081008911,67.0,539.0009521863257,34438.0
68,39.971988677978516,68.0,539.3856730931335,34952.0
69,40.58760666847229,69.0,539.5739526131794,35466.0
70,41.298194885253906,70.0,539.6674600339131,35980.0
71,41.885966777801514,71.0,540.0203135839078,36494.0
72,42.49756360054016,72.0,540.3073021929395,37008.0
73,43.21354627609253,73.0,540.9270642279826,37522.0
74,43.794297218322754,74.0,542.4547803513573,38036.0
75,44.385507106781006,75.0,542.4672495312511,38550.0
76,44.98798966407776,76.0,542.4611835599669,39064.0
77,45.6108615398407,77.0,542.5356910654898,39578.0
78,46.18768668174744,78.0,543.3645407106361,40092.0
79,46.75128960609436,79.0,543.7185318453278,40606.0
80,47.32735824584961,80.0,543.8797061063774,41120.0
81,47.897284746170044,81.0,544.0447425200969,41634.0
82,48.47393536567688,82.0,544.1305083826013,42148.0
83,49.05181956291199,83.0,544.1390844168097,42662.0
84,49.69749331474304,84.0,544.8439633338434,43176.0
85,50.3003945350647,85.0,545.0828982776318,43690.0
86,50.892982482910156,86.0,545.209305513601,44204.0
87,51.4759464263916,87.0,545.9625029782601,44718.0
88,52.07928943634033,88.0,546.1079454093016,45232.0
89,52.627620220184326,89.0,546.1688924175555,45746.0
90,53.32286286354065,90.0,546.2047828175229,46260.0
91,53.939908027648926,91.0,546.4181552417671,46774.0
92,54.62092351913452,92.0,546.6580611613849,47288.0
93,55.20300030708313,93.0,547.0738150688135,47802.0
94,55.79201626777649,94.0,547.132772981782,48316.0
95,56.407501220703125,95.0,547.1460777157101,48830.0
96,57.46168255805969,96.0,547.1777421118074,49344.0
97,58.145113945007324,97.0,547.1871387269468,49858.0
98,58.73535203933716,98.0,547.6188778361504,50372.0
99,59.40415573120117,99.0,547.61940457336,50886.0
100,60.155877351760864,100.0,547.6358090875163,51400.0
101,60.8156795501709,101.0,547.6715390687773,51914.0
102,61.471396684646606,102.0,547.7889178752744,52428.0
103,62.138094902038574,103.0,547.8667205385102,52942.0
104,62.85383701324463,104.0,548.2062163177226,53456.0
105,63.49328398704529,105.0,548.2508251372711,53970.0
106,64.15693926811218,106.0,548.3563177500185,54484.0
107,64.77154588699341,107.0,548.3939462880118,54998.0
108,65.34400224685669,108.0,548.4411201598951,55512.0
109,65.94162011146545,109.0,548.6959788153413,56026.0
110,66.53891611099243,110.0,548.7224174336249,56540.0
111,67.25547695159912,111.0,548.7229027390101,57054.0
112,67.87170171737671,112.0,548.7438515122092,57568.0
113,68.46684217453003,113.0,549.1677933007854,58082.0
114,69.06175494194031,114.0,549.5560667104806,58596.0
115,69.64649796485901,115.0,549.6179251717699,59110.0
116,70.23569798469543,116.0,549.7198455477597,59624.0
117,70.94526982307434,117.0,549.7150444994548,60138.0
118,71.81403851509094,118.0,549.9083500257369,60652.0
119,72.4897072315216,119.0,549.9376636575263,61166.0
120,73.2025535106659,120.0,549.9384658560334,61680.0
121,73.9179036617279,121.0,549.9881191473864,62194.0
122,74.59412813186646,122.0,549.9903492476884,62708.0
123,75.3144862651825,123.0,549.9917887996903,63222.0
124,76.03819561004639,124.0,550.0325750735964,63736.0
125,76.7009768486023,125.0,550.0341631881602,64250.0
126,77.55469226837158,126.0,550.0382595583684,64764.0
127,78.36554431915283,127.0,550.1406249526996,65278.0
128,79.14730405807495,128.0,550.1545928824372,65792.0
129,80.03924179077148,129.0,550.1663696571674,66306.0
130,80.86656022071838,130.0,550.3309471201576,66820.0
131,81.64589643478394,131.0,550.3665165731483,67334.0
132,82.4738667011261,132.0,550.3679626645661,67848.0
133,83.20954847335815,133.0,550.3682075361513,68362.0
134,83.91300225257874,134.0,550.4392348561166,68876.0
135,84.65139102935791,135.0,550.4407245266824,69390.0
136,85.53595876693726,136.0,550.5258803256648,69904.0
137,86.23559474945068,137.0,550.5649728024799,70418.0
138,87.01484084129333,138.0,550.5812864395073,70932.0
139,87.73273134231567,139.0,550.5937599132744,71446.0
140,88.45714092254639,140.0,550.7283990107015,71960.0
141,89.1719651222229,141.0,550.7767662447186,72474.0
142,90.04551959037781,142.0,550.8449166159625,72988.0
143,90.7202136516571,143.0,551.1809650789488,73502.0
144,91.45685076713562,144.0,551.2546279351286,74016.0
145,92.17900252342224,145.0,551.266964257287,74530.0
146,92.8546633720398,146.0,551.2719941384402,75044.0
147,93.58602786064148,147.0,551.3220666862358,75558.0
148,94.30605030059814,148.0,551.3594017053218,76072.0
149,94.98498487472534,149.0,551.3737409757508,76586.0
150,96.13670182228088,150.0,551.3780956163082,77100.0
151,96.86590337753296,151.0,551.3772402018926,77614.0
152,97.55635476112366,152.0,551.3781528545317,78128.0
153,98.26389169692993,153.0,551.4245375919701,78642.0
154,99.03440570831299,154.0,551.4305163550475,79156.0
155,99.90124535560608,155.0,551.4532156184495,79670.0
156,100.79253220558167,156.0,551.4656249122808,80184.0
157,101.53010821342468,157.0,551.5061207391233,80698.0
158,102.2190089225769,158.0,551.5068995467337,81212.0
159,103.07380294799805,159.0,551.5057342617198,81726.0
160,103.80688691139221,160.0,551.6215091116213,82240.0
161,104.51408553123474,161.0,551.6500652491247,82754.0
162,105.40664887428284,162.0,551.6562164794245,83268.0
163,106.31409049034119,163.0,551.782404934962,83782.0
164,107.16896462440491,164.0,551.7817570148352,84296.0
165,107.91373562812805,165.0,551.7829976304131,84810.0
166,108.64496326446533,166.0,551.8026200447965,85324.0
167,109.37530970573425,167.0,551.8912165182728,85838.0
168,110.15369749069214,168.0,551.9170178908186,86352.0
169,110.95336365699768,169.0,551.9251068833826,86866.0
170,111.65608501434326,170.0,551.9384946766495,87380.0
171,112.36610889434814,171.0,551.98104121857,87894.0
172,113.08323931694031,172.0,552.5488176959111,88408.0
173,113.7643301486969,173.0,552.6069451896024,88922.0
174,114.46498608589172,174.0,552.6594171056963,89436.0
175,115.17999529838562,175.0,552.6593686933314,89950.0
176,115.81872129440308,176.0,552.7030123498732,90464.0
177,116.51920747756958,177.0,552.7378991740612,90978.0
178,117.31156897544861,178.0,552.7447341487282,91492.0
179,117.99420595169067,179.0,552.7443859760284,92006.0
180,118.72400450706482,180.0,552.7717083622779,92520.0
181,119.57067608833313,181.0,552.7726136674271,93034.0
182,120.2325668334961,182.0,552.7883784371445,93548.0
183,120.94446539878845,183.0,552.7994180791311,94062.0
184,121.76673793792725,184.0,552.8005284936108,94576.0
185,122.42250108718872,185.0,552.8187204254257,95090.0
186,123.12866950035095,186.0,552.818541142316,95604.0
187,123.84202432632446,187.0,552.9286558269923,96118.0
188,124.55346202850342,188.0,552.9372513900269,96632.0
189,125.29820322990417,189.0,552.943455408262,97146.0
190,126.02495121955872,190.0,552.9447233229631,97660.0
191,126.72097611427307,191.0,552.9473999853944,98174.0
192,127.44048571586609,192.0,552.9514304490198,98688.0
193,128.20029306411743,193.0,553.0036162511414,99202.0
194,128.88810801506042,194.0,553.0150305857038,99716.0
195,129.62005615234375,195.0,553.0159580545659,100230.0
196,130.33465719223022,196.0,553.0235425495717,100744.0
197,131.0109691619873,197.0,553.0245194287173,101258.0
198,131.73697590827942,198.0,553.025228606899,101772.0
199,132.43051195144653,199.0,553.0274667580114,102286.0
200,133.17512726783752,200.0,553.0285195442515,102800.0
201,134.01909112930298,201.0,553.0308173626426,103314.0
202,134.77314567565918,202.0,553.0496539469533,103828.0
203,135.44998002052307,203.0,553.0552700830347,104342.0
204,136.20486521720886,204.0,553.0653428164861,104856.0
205,136.89278388023376,205.0,553.0664931936144,105370.0
206,137.58081936836243,206.0,553.1180393919802,105884.0
207,138.39295363426208,207.0,553.1191797833944,106398.0
208,139.12177228927612,208.0,553.1312079646182,106912.0
209,139.8229157924652,209.0,553.1382840875306,107426.0
210,140.52543687820435,210.0,553.1385272994625,107940.0
211,141.29669904708862,211.0,553.1431056965331,108454.0
